order_date,category,region,revenue,units_sold,marketing_spend,customer_rating
2025-05-09,Apparel,South,410.08,10,63.15,3.4
2025-05-10,Home & Kitchen,South,441.63,17,78.98,4.8
2025-05-11,Home & Kitchen,South,372.89,10,61.4,4.5
2025-05-12,Home & Kitchen,West,410.73,10,,3.8
2025-05-13,Electronics,East,369.79,21,52.76,3.3
2025-05-14,Electronics,South,382.62,10,44.13,3.8
2024-10-31,Sports,West,332.49,9,41.79,4.9
2024-12-06,Apparel,West,292.62,7,47.49,3.8
2024-02-17,Electronics,North,226.31,5,19.61,4.0
2024-03-08,Books,West,217.98,6,32.37,3.9
2025-04-24,Sports,East,476.12,14,62.57,4.5
2025-04-30,Beauty,West,409.57,11,47.16,5.0
2024-11-06,Electronics,North,366.11,19,53.67,3.8
2024-02-01,Apparel,West,203.51,13,26.42,5.0
2024-09-06,Electronics,North,280.49,7,27.29,4.1
2024-03-31,Sports,East,256.31,15,39.68,5.0
